"response","correction"
"neurotico","neurótico"
"neuroticos","neuróticos"
"neutron","neutrón"
"new york","New York"
"newton","Newton"
"nike","Nike"
"nilo","Nilo"
"niñes","niñez"
"ninez","niñez"
"nino","niño"
"ninos","niños"
"nipon","nipón"
"nitida","nítida"
"nitidas","nítidas"
"nitido","nítido"
"nitidos","nítidos"
"nitrico","nítrico"
"nitrogeno","nitrógeno"
"No","no"
"no esta","no está"
"no se","no sé"
"nobe","Nobel"
"nocion","noción"
"noe","Noé"
"noel","Noel"
"nomada","nómada"
"nomadas","nómadas"
"nomade","nómade"
"nomades","nómades"
"norteamerica","norteamérica"
"nose","no sé"
"notificacion","notificación"
"notre dame","Notre Dame"
"nucleo","núcleo"
"nuemero","número"
"nueva york","Nueva York"
"numeracion","numeración"
"numerica","numérica"
"numericas","numéricas"
"numerico","numérico"
"numericos","numéricos"
"numero","número"
"numeros","números"
"numerós","números"
"nunero","número"
"nutricion","nutrición"
"nuve","nube"
"nuves","nubes"
"obceno","obsceno"
"obeja","oveja"
"obito","óbito"
"obligacion","obligación"
"obscuridad","oscuridad"
"obscuro","oscuro"
"obsecion","obsesión"
"obsena","obscena"
"obsenas","obscenas"
"obseno","obsceno"
"obsenos","obscenos"
"observacion","observación"
"obsesion","obsesión"
"obstaculo","obstáculo"
"obstaculos","obstáculos"
"obstruccion","obstrucción"
"obtencion","obtención"
"ocacion","ocasión"
"ocacional","ocasional"
"ocasion","ocasión"
"oceano","océano"
"oceanos","océanos"
"ocupacion","ocupación"
"ocurrio","ocurrió"
"odontologa","odontóloga"
"odontologas","odontólogas"
"odontologo","odontólogo"
"odontologos","odontólogos"
"oftalmologo","oftalmólogo"
"oido","oído"
"oidos","oídos"
"oir","oír"
"oja","hoja"
"ojala","ojalá"
"ojas","hojas"
"okey","ok"
"oleo","óleo"
"oligarquia","oligarquía"
"olimpiadas","olimpíadas"
"olimpico","olímpico"
"olivia","Olivia"
"omnibus","ómnibus"
"ondo","hondo"
"ondulacion","ondulación"
"ong","ONG"
"on line","online"
"on-line","online"
"opcion","opción"
"opera","ópera"
"operacion","operación"
"opinion","opinión"
"oposicion","oposición"
"oprecion","opresión"
"opresion","opresión"
"oprtunidad","oportunidad"
"optica","óptica"
"optico","óptico"
"oracion","oración"
"orbita","órbita"
"órden","orden"
"ordenes","órdenes"
"oregano","orégano"
"organica","orgánica"
"organicas","orgánicas"
"organico","orgánico"
"organicos","orgánicos"
"organizacion","organización"
"organo","órgano"
"organos","órganos"
"orgia","orgía"
"orgias","orgías"
"orientacion","orientación"
"origenes","orígenes"
"orin","orín"
"orrible","horrible"
"orribles","horribles"
"ortografia","ortografía"
"osadia","osadía"
"oscar","Óscar"
"osco","hosco"
"oseo","óseo"
"osio","ocio"
"ostentacion","ostentación"
"ostia","hostia"
"ostigamiento","hostigamiento"
"ostigar","hostigar"
"otorrino","otorrinolaringólogo"
"ovalo","óvalo"
"oviparo","ovíparo"
"ovulo","óvulo"
"oxido","óxido"
"oxigeno","oxígeno"
"pablo","Pablo"
"pacifco","pacífico"
"pacifcos","pacíficos"
"pacifica","pacífica"
"pacificas","pacíficas"
"pacifico","pacífico"
"pagina","página"
"paginas","páginas"
"pais","país"
"Pais","país"
"paises","países"
"pajaro","pájaro"
"PAJARO","pájaro"
"pajaros","pájaros"
"palabrerio","palabrerío"
"palermo","Palermo"
"palido","pálido"
"palpitacion","palpitación"
"palpito","pálpito"
"panaderia","panaderías"
"panama","Panamá"
"pancreas","páncreas"
"panico","pánico"
"pantalon","pantalón"
"papa noel","Papá Noel"
"papá noel","Papá Noel"
"papelon","papelón"
"paracaidas","paracaídas"
"paragua","paraguas"
"paraguay","Paraguay"
"paraiso","paraíso"
"paralisis","parálisis"
"paralitca","paralítica"
"paralitico","paralítico"
"parametro","parámetro"
"parasito","parásito"
"parasitos","parásitos"
"paredon","paredón"
"parentezco","parentesco"
"paris","París"
"Paris","París"
"parlanchin","parlanchín"
"parpado","párpado"
"parpados","párpados"
"parrafo","párrafo"
"parrafos","párrafos"
"participacion","participación"
"participe","partícipe"
"particula","partícula"
"particulas","partículas"
"pasiencia","paciencia"
"pasion","pasión"
"pasteleria","pastelería"
"patagonia","Patagonia"
"patetico","patético"
"patin","patín"
"patologia","patología"
"patologias","patologías"
"patriotica","patriótica"
"patrioticas","patrióticas"
"patriotico","patriótico"
"patrioticos","patrióticos"
"patron","patrón"
"pauperrimo","paupérrimo"
"pc","PC"
"peaton","peatón"
"pedofilo","pedófilo"
"pedofilos","pedófilos"
"pedro","Pedro"
"pelicula","película"
"Pelicula","película"
"peliculas","películas"
"peluqueria","peluquería"
"peñarol","Peñarol"
"penetracion","penetración"
"peon","peón"
"pepe","Pepe"
"pequeno","pequeño"
"percepcion","percepción"
"percusion","percusión"
"perdicion","perdición"
"perdida de tiempo","pérdida de tiempo"
"perdio","perdió"
"perdon","perdón"
"peresa","pereza"
"peresosa","perezosa"
"peresosas","perezosas"
"peresoso","perezoso"
"peresosos","perezosos"
"perez","Pérez"
"perfeccion","perfección"
"perimetro","perímetro"
"perimetros","perímetros"
"periodica","periódica"
"periodico","periódico"
"periodicos","períodicos"
"periodistica","perdiodística"
"periodistico","periodístico"
"periodo","período"
"periodos","períodos"
"peron","Perón"
"Peron","Perón"
"perón","Perón"
"persecucion","persecución"
"personad","personas"
"peru","Perú"
"Peru","Perú"
"pes","pez"
"pesima","pésima"
"pesimas","pésimas"
"pesimo","pésimo"
"pesimos","pésimos"
"peter","Peter"
"peticion","petición"
"petizo","petiso"
"petroleo","petróleo"
"pezca","pesca"
"pezcado","pescado"
"pezon","pezón"
"picardia","picardía"
"picaro","pícaro"
"picason","picazón"
"picasso","Picasso"
"picazon","picazón"
"pildora","píldora"
"pildoras","píldoras"
"pimenton","pimentón"
"pinky","Pinky"
"pinocho","Pinocho"
"pio","pío"
"piolin","piolín"
"pipi","pipí"
"piramide","pirámide"
"piramides","pirámides"
"pitagoras","Pitágoras"
"pitágoras","Pitágoras"
"pittamiglio","Pittamiglio"
"piza","pizza"
"pizarron","pizarrón"
"pizzeria","pizzería"
"placar","placard"
"planificacion","planificación"
"plantacion","plantación"
"plastica","plástica"
"plasticas","plásticas"
"plastico","plástico"
"platano","plátano"
"plateria","platería"
"platon","Platón"
"platón","Platón"
"plumifero","plumífero"
"plusvalia","plusvalía"
"poblacion","población"
"pobresa","pobreza"
"pocion","poción"
"pocker","póker"
"poesia","poesía"
"poker","póker"
"polici","policía"
"policia","policía"
"Policia","policía"
"Policía","policía"
"policias","policías"
"polinizacion","polinización"
"politica","política"
"Política","política"
"politicas","políticas"
"politico","político"
"politicos","políticos"
"poliza","póliza"
"polizon","polizón"
"polucion","polución"
"polvora","pólvora"
"popeye","Popeye"
"popo","popó"
"por que","por qué"
"porcion","porción"
"pororo","pororó"
"porqué","por qué"
"porqueria","porquería"
"porquerias","porquerías"
"portatil","portátil"
"porton","portón"
"posecion","posesión"
"posesion","posesión"
"posicion","posición"
"posion","poción"
"posión","poción"
"poso","pozo"
"posos","pozos"
"poster","póster"
"power point","Powerpoint"
"Power point","Powerpoint"
"power Point","Powerpoint"
"powerpoint","Powerpoint"
"practica","práctica"
"practico","práctico"
"precaucion","precaución"
"precausion","precaución"
"precidente","presidente"
"precionar","presionar"
"precision","precisión"
"prediccion","predicción"
"predisposicion","predisposición"
"premonicion","premonición"
"preocupacion","preocupación"
"preparacion","preparación"
"preposicion","preposición"
"presentacion","presentación"
"preservacion","preservación"
"presicion","precisión"
"presion","presión"
"presisa","precisa"
"presiso","preciso"
"prestamo","préstamo"
"prestamos","préstamos"
"presuncion","presunción"
"prevencion","prevención"
"prever","preveer"
"prevision","previsión"
"principe","príncipe"
"principes","príncipes"
"prision","prisión"
"privacion","privación"
"probiotico","probiótico"
"probioticos","probióticos"
"problematica","problemática"
"problematicas","problemáticas"
"problematico","problemático"
"problematicos","problemáticos"
"procastinar","procrastinar"
"procastinacion","procrastinación"
"procrastinacion","procrastinación"
"procer","prócer"
"proceres","próceres"
"prodigo","pródigo"
"prodigos","pródigos"
"produccion","producción"
"profecion","profesión"
"profeción","profesión"
"profecional","profesional"
"profesion","profesión"
"profuga","prófuga"
"profugas","prófugas"
"profugo","prófugo"
"profugos","prófugos"
"programacion","programación"
"prohibicion","prohibición"
"projimo","prójimo"
"prolongacion","prolongación"
"promocion","promoción"
"pronostico","pronóstico"
"proporcion","proporción"
"proposicion","proposición"
"proposito","propósito"
"prosegur","Prosegur"
"prostitucion","prostitución"
"proteccion","protección"
"Protección","protección"
"proteina","proteína"
"proteinas","proteínas"
"proteje","protege"
"protejer","proteger"
"protesis","prótesis"
"proton","protón"
"provocacion","provocación"
"proxima","próxima"
"proximo","próximo"
"proyeccion","proyección"
"psicoanalisis","psicoanálisis"
"psicofarmaco","psicofármaco"
"psicofarmacos","psicofármacos"
"psicologa","psicóloga"
"psicologia","psicología"
"psicologica","psicológica"
"psicologico","psicológico"
"psicologo","psicólogo"
"psicopata","psicópata"
"psicopatas","psicópatas"
"psicotica","psicótica"
"psicoticas","psicóticas"
"psicotico","psicótico"
"psicoticos","psicóticos"
"psicotropico","psicotrópico"
"psiquiatria","psiquiatría"
"psiquiatrica","psiquiátrica"
"psiquiatrico","psiquiátrico"
"pua","púa"
"puas","púas"
"puber","púber"
"puberes","púberes"
"publica","pública"
"publicacion","publicación"
"publico","público"
"publicos","públicos"
"pullover","pulóver"
"pulmon","pulmón"
"pulover","pulóver"
"punta del este","Punta del Este"
"punteria","puntería"
"puntuacion","puntuación"
"pure","puré"
"puterio","puterío"
"putrefaccion","putrefacción"
"qué","que"
"que?","que"
"querosene","querosén"
"queroseno","querosén"
"quien","quién"
"quijote","Quijote"
"quimica","química"
"quimicas","químicas"
"quimico","químico"
"quimicos","químicos"
"quino","Quino"
"quiosco","kiosco"
"quirofano","quirófano"
"quirofanos","quirófanos"
"quiroga","Quiroga"
"quiza","quizá"
"quizas","quizás"
"racing","Racing"
"racion","ración"
"rada","Rada"
"radiacion","radiación"
"radiografia","radiografía"
"raices","raíces"
"raid","Raid"
"raiz","raíz"
"rapida","rápida"
"rapidamente","rápidamente"
"rapidas","rápidas"
"rapides","rapidez"
"rapido","rápido"
"ràpido","rápido"
"rapidos","rápidos"
"raspon","raspón"
"raton","ratón"
"rayos x","rayos X"
"razocinio","raciocinio"
"razon","razón"
"reaccion","reacción"
"realizacion","realización"
"rebeldia","rebeldía"
"rebelion","rebelión"
"recepcion","recepción"
"recien","recién"
"recoleccion","recolección"
"recomendacion","recomendación"
"recompenza","recompensa"
"Reconocimiento","reconocimiento"
"recreacion","recreación"
"rectangulo","rectángulo"
"recuperacion","recuperación"
"redaccion","redacción"
"reduccion","reducción"
"referi","referí"
"refineria","refinería"
"reflexion","reflexión"
"refran","refrán"
"reggaeton","reggaetón"
"reggeton","reggaetón"
"regimen","régimen"
"region","región"
"reguetón","reggaetón"
"reguetton","reggaetón"
"rehen","rehén"
"reir","reír"
"relacion","relación"
"relajacion","relajación"
"relampago","relámpago"
"relampagos","relámpagos"
"religion","religión"
"RELIGION","religión"
"remis","remise"
"remuneracion","remuneración"
"renglon","renglón"
"renovacion","renovación"
"reparacion","reparación"
"reparticion","repartición"
"repeticion","repetición"
"representacion","representación"
"represion","represión"
"reproduccion","reproducción"
"republica","república"
"República","república"
"repulcion","repulsión"
"repulsion","repulsión"
"reputacion","reputación"
"resfrio","resfrío"
"resignacion","resignación"
"resolucion","resolución"
"resongar","rezongar"
"respiracion","respiración"
"restaurant","restaurante"
"restoran","restaurante"
"restriccion","restricción"
"retraida","retraída"
"retraidas","retraídas"
"retraido","retraído"
"retrazo","retraso"
"retribucion","retribución"
"reunion","reunión"
"Reunion","reunión"
"reuniòn","reunión"
"reveer","rever"
"revelde","rebe"
"reves","revés"
"revision","revisión"
"revolucion","revolución"
"revolver","revólver"
"Rey","rey"
"reyna","reina"
"rici","rico"
"ridiculo","ridículo"
"rie","ríe"
"riezgo","riesgo"
"rigida","rígida"
"rigido","rígido"
"rigidos","rígidos"
"rimel","rímel"
"rimmel","rímel"
"rin","Rin"
"rincon","rincón"
"riñon","riñón"
"rio","río"
"Río","río"
"rio de janeiro","Rio de Jaranero"
"rio de la plata","Río de la Plata"
"Rio de la plata","Río de la Plata"
"Rio de la Plata","Río de la Plata"
"río de la plata","Río de la Plata"
"rios","ríos"
"riquesa","riqueza"
"riquisimo","riquísimo"
"river","River"
"rivera","Rivera"
"roberto","Roberto"
"robin","Robin"
"robin hood","Robin Hood"
"rocha","Rocha"
"rocio","rocío"
"rodin","Rodin"
"rodo","rodó"
"rodrigo","Rodrigo"
"rodriguez","Rodríguez"
"roj","rojo"
"roji","rojo"
"roma","Roma"
"romantica","romántica"
"romanticas","románticas"
"romantico","romántico"
"romanticos","románticos"
"ronaldo","Ronaldo"
"rotacion","rotación"
"rotiseria","rotisería"
"rubi","rubí"
"rubies","rubíes"
"rufian","rufián"
"rustica","rústica"
"rusticas","rústicas"
"rustico","rústico"
"rusticos","rústicos"
"s.o.s.","S.O.S."
"sabado","sábado"
"sabanas","sábanas"
"sabiduria","sabiduría"
"sabihonda","sabionda"
"sabihondas","sabiondas"
"sabihondo","sabiondo"
"sabihondos","sabiondos"
"sabina","Sabina"
"sacudon","sacudón"
"sadico","sádico"
"safar","zafar"
"sagas","sagaz"
"sagre","sangre"
"sahara","Sahara"
"saliba","saliva"
"salinas","Salinas"
"salmon","salmón"
"salon","salón"
"salòn","salón"
"saltarin","saltarín"
"Salud","salud"
"salúd","salud"
"salvacion","salvación"
"san","San"
"san martin","San Martín"
"sanacion","sanación"
"sancho","Sancho"
"sancho panza","Sanco Panza"
"sancion","sanción"
"sandia","sandía"
"sandwich","sándwich"
"sandwiches","sándwiches"
"sangria","sangría"
"sanguche","sándwich"
"sánguche","sándwich"
"sanguinea","sanguínea"
"sanguineo","sanguíneo"
"santa claus","Santa Claus"
"santa fe","Santa Fé"
"santa teresa","Santa Teresa"
"santa Teresa","Santa Teresa"
"santiago","Santiago"
"Santo","santo"
"sarli","Sarli"
"sarmiento","Sarmiento"
"sarpado","zarpado"
"sarten","sartén"
"satanas","satanás"
"satelite","satélite"
"satisfaccion","satisfacción"
"satisfacion","satisfacción"
"saturacion","saturación"
"saturno","Saturno"
"savora","Savora"
"scotch","Scotch"
"seccion","sección"
"secrecion","secreción"
"seduccion","seducción"
"segregacion","segregación"
"Seguir","seguir"
"segun","según"
"seleccion","selección"
"semaforo","semáforo"
"Semaforo","semáforo"
"semaforos","semáforos"
"semicirculo","semicírculo"
"semicirculos","semicírculos"
"semiotica","semiótica"
"señalizacion","señalización"
"sencible","sensible"
"sencibles","sensibles"
"sensacion","sensación"
"sensillo","sencillo"
"separacion","separación"
"septimo","séptimo"
"sequia","sequía"
"sequias","sequías"
"Ser","ser"
"sera","será"
"serca","cerca"
"seudonomo","seudónimo"
"sexi","sexy"
"shakespeare","Shakespeare"
"shakira","Shakira"
"sherif","sheriff"
"sherlock","Sherlock"
"sherlock holmes","Sherlock Holmes"
"sherlok holmes","Sherlock Holmes"
"shoping","shopping"
"shrek","Shrek"
"si","sí"
"Sierra","sierra"
"sifilis","sífilis"
"sil","sol"
"silaba","sílaba"
"sillon","sillón"
"Sillón","sillón"
"silvar","silbar"
"silvato","silbato"
"sima","cima"
"simbolico","simbólico"
"simbolo","símbolo"
"simbolos","símbolos"
"simetria","simetría"
"simil","símil"
"simpatia","simpatía"
"simpatica","simpática"
"simpatico","simpático"
"simpson","Simpson"
"Simpson's","Simpsons"
"simpsons","Simpsons"
"sin vergüenza","sinvergüenza"
"sincha","cincha"
"sinchar","cinchar"
"sincronica","sincrónica"
"sincronico","sincrónico"
"sincronicas","sincrónicas"
"sincronicos","sincrónicos"
"sindrome","síndrome"
"sinfin","sinfín"
"sinonimo","sinónimo"
"sintesis","síntesis"
"sintetico","sintético"
"sintoma","síntoma"
"sintomas","síntomas"
"sintonia","sintonía"
"sinverguenza","sinvergüenza"
"sinverguenzas","sinvergüenzas"
"situacion","situación"
"sms","SMS"
"soberania","soberanía"
"sobervia","soberbia"
"sobervio","soberbio"
"sobrevivencia","supervivencia"
"socializacion","socialización"
"socrates","Sócrates"
"sócrates","Sócrates"
"sodiaco","zoodíaco"
"sodíaco","zoodíaco"
"sofa","sofá"
"Sol","sol"
"solari","Solari"
"solida","sólida"
"solidas","sólidas"
"solido","sólido"
"solidos","sólidos"
"solucion","solución"
"sombrio","sombrío"
"sonreir","sonreír"
"sonrrisa","sonrisa"
"soplon","soplón"
"SOS","S.O.S."
"sosten","sostén"
"sotano","sótano"
"sotanos","sótanos"
"soutién","soutien"
"spiderman","Spiderman"
"spinetta","Spinetta"
"sprite","Sprite"
"stereo","estéreo"
"stres","estrés"
"stress","estrés"
"suarez","Suárez"
"suárez","Suárez"
"suavidas","suavidad"
"subconciente","subconsciente"
"subordinacion","subordinación"
"subterraneo","subterráneo"
"succion","succión"
"sucedio","sucedió"
"sucesion","sucesión"
"sucii","sucio"
"sudamerica","sudamérica"
"sueter","suéter"
"sueve","suave"
"suiza","Suiza"
"sulfurico","sulfúrico"
"sumision","sumisión"
"sunca","SUNCA"
"súper","super"
"super heroe","superhéroe"
"super héroe","superhéroe"
"superacion","superación"
"superheroe","superhéroe"
"superheroes","superhéroes"
"superman","Superman"
"supersticion","superstición"
"suplica","súplica"
"suplicas","súplicas"
"suposicion","suposición"
"supremacia","supremacía"
"surcir","zurcir"
"susana","Susana"
"sustraccion","sustracción"
"sutien","soutien"
"sutién","soutien"
"sweater","suéter"
"sweter","suéter"
"tabare","Tabaré"
"tabarez","Tabárez"
"Tabarez","Tabárez"
"tabárez","Tabárez"
"tabla periodica","tabla periódica"
"tabu","tabú"
"tactica","táctica"
"tactil","táctil"
"taekondo","taekwondo"
"talon","talón"
"talvez","tal vez"
"tambien","también"
"tampon","tampón"
"taper","tupper"
"táper","tupper"
"tapiceria","tapicería"
"tapon","tapón"
"tardio","tardío"
"tarzan","Tarzán"
"tarzán","Tarzán"
"tasmania","Tasmania"
"tazmania","Tasmania"
"tazon","tazón"
"te","té"
"teabajo","trabajo"
"tecnica","técnica"
"tecnicas","técnicas"
"tecnico","técnico"
"tecnologia","tecnología"
"Tecnologia","tecnología"
"Tecnología","tecnología"
"tectonica","tectónica"
"telefonica","telefónica"
"telefono","teléfono"
"telefonos","teléfonos"
"televicion","televisión"
"televición","televisión"
"television","televisión"
"telon","telón"
"tematica","temática"
"tematicas","temáticas"
"tencion","tensión"
"tención","tensión"
"tendon","tendón"
"tennis","tenis"
"tension","tensión"
"tentacion","tentación"
"tentaculo","tentáculo"
"tentaculos","tentáculos"
"teoria","teoría"
"teorias","teorías"
"teorico","teórico"
"terminacion","terminación"
"termino","término"
"terminos","términos"
"termometro","termómetro"
"terraqueo","terráqueo"
"terraqueos","terráqueos"
"terrorifico","terrorífico"
"tes","tez"
"teson","tesón"
"tesoreria","tesorería"
"testiculos","testículos"
"tetrica","tétrica"
"tetrico","tétrico"
"tezon","tesón"
"tezón","tesón"
"tia","tía"
"tias","tías"
"tiburon","tiburón"
"tictac","tic tac"
"Tiempo","tiempo"
"tienpo","tiempo"
"Tierra","tierra"
"timida","tímida"
"timidas","tímidas"
"timido","tímido"
"timidos","tímidos"
"timon","timón"
"tincion","tinción"
"tinelli","Tinelli"
"tio","tío"
"tios","tíos"
"tipica","típica"
"tipicas","típicas"
"tipico","típico"
"tipicos","típicos"
"tirania","tiranía"
"titanic","Titanic"
"titere","títere"
"titeres","títeres"
"titulo","título"
"titulos","títulos"
"toallon","toallón"
"tobogan","tobogán"
"todavia","todavía"
"tombola","tómbola"
"tonteria","tontería"
"tonterias","tonterías"
"topico","tópico"
"topicos","tópicos"
"torax","tórax"
"totem","tótem"
"toxica","tóxica"
"toxicas","tóxicas"
"toxico","tóxico"
"toxicos","tóxicos"
"trabaho","trabajo"
"trabaji","trabajo"
"Trabajo","trabajo"
"traccion","tracción"
"tradicion","tradición"
"trafico","tráfico"
"tragica","trágica"
"tragicas","trágicas"
"tragico","trágico"
"tragicos","trágicos"
"traicion","traición"
"trailer","tráiler"
"trajedia","tragedia"
"tramite","trámite"
"tramites","trámites"
"trampolin","trampolín"
"trancito","tránsito"
"tranfuga","tránsfuga"
"tránfuga","tránsfuga"
"tranfugas","tránsfugas"
"tránfugas","tránsfugas"
"transaccion","transacción"
"transformacion","transformación"
"transfuga","tránsfuga"
"transfugas","tránsfugas"
"transicion","transición"
"transito","tránsito"
"translucido","translúcido"
"transmicion","transmisión"
"transmision","transmisión"
"transpiracion","transpiración"
"transtorno","trastorno"
"transtornado","trastornado"
"transtornada","trastornada"
"traslucido","translúcido"
"trasmitir","transmitir"
"trasporte","transporte"
"trebol","trébol"
"triangulo","triángulo"
"triangulos","triángulos"
"triateza","tristeza"
"trio","trío"
"tripode","trípode"
"tripulacion","tripulación"
"tristesa","tristeza"
"triteza","tristeza"
"trizte","triste"
"trizteza","tristeza"
"trombon","trombón"
"tropezon","tropezón"
"tropico","trópico"
"tropicos","trópicos"
"troya","Troya"
"trsite","triste"
"trsiteza","tristeza"
"trsteza","tristeza"
"trump","Trump"
"tuberculo","tubérculo"
"tuberia","tubería"
"tubo ensayo","tubo de ensayo"
"tucuman","Tucumán"
"tunel","túnel"
"tunica","túnica"
"tunicas","túnicas"
"tuper","tupper"
"turistica","turística"
"turistico","turístico"
"turner","Turner"
"turron","turrón"
"tutu","tutú"
"tv","TV"
"twitter","Twitter"
"uber","Uber"
"ubicacion","ubicación"
"uir","huir"
"ulcera","úlcera"
"ultima","última"
"ultimas","últimas"
"ultimo","último"
"ultimos","últimos"
"unica","única"
"unicas","únicas"
"unico","único"
"unicos","únicos"
"union","unión"
"Union","unión"
"Unión","unión"
"Universidad","universidad"
"urto","hurto"
"uruguay","Uruguay"
"usb","USB"
"ute","UTE"
"utencilio","utensilio"
"utencillo","utensilio"
"utensillo","utensilio"
"utensillos","utensilios"
"utero","útero"
"util","útil"
"utiles","útiles"
"utopia","utopía"
"utopica","utópica"
"utopico","utópico"
"vacacion","vacación"
"vacia","vacía"
"vacias","vacías"
"vacio","vacío"
"vacìo","vacío"
"vacios","vacíos"
"vacteria","bacteria"
"vacunacion","vacunación"
"vagon","vagón"
"valanza","balanza"
"valentia","valentía"
"Valentía","valentía"
"valentin","Valentín"
"valentín","Valentín"
"valentina","Valentina"
"valida","válida"
"validas","válidas"
"valido","válido"
"validos","válidos"
"valoracion","valoración"
"vanal","banal"
"vandalo","vándalo"
"varela","Varela"
"variacion","variación"
"varon","varón"
"vaticano","Vaticano"
"vegetacion","vegetación"
"vehiculo","vehículo"
"vehiculos","vehículos"
"veiculo","vehículo"
"vejes","vejez"
"velóz","veloz"
"venecia","Venecia"
"venezuela","Venezuela"
"veni","vení"
"verborragico","verborrágico"
"verduleria","verdulería"
"verguenza","vergüenza"
"veridico","verídico"
"verosimil","verosímil"
"versatil","versátil"
"versatiles","versátiles"
"version","versión"
"vertebra","vértebra"
"vertebras","vértebras"
"vertice","vértice"
"vertices","vértices"
"vertigo","vértigo"
"via","vía"
"via lactea","vía láctea"
"via láctea","vía láctea"
"vía lactea","vía láctea"
"vias","vías"
"vibora","víbora"
"viboras","víboras"
"vibracion","vibración"
"vicera","visera"
"victima","víctima"
"victimas","víctimas"
"vidal","Vidal"
"videla","Videla"
"vids","vidas"
"vieji","viejo"
"vinculo","vínculo"
"vinculos","vínculos"
"violacion","violación"
"violin","violín"
"VIP","vip"
"vision","visión"
"vivora","víbora"
"vocacion","vocación"
"volatil","volátil"
"volcan","volcán"
"voley","voleibol"
"voleyball","voleibol"
"volley","voleibol"
"vomito","vómito"
"vomitos","vómitos"
"votacion","votación"
"vuda","vida"
"washington","Washington"
"watson","Watson"
"whatsapp","WhatsApp"
"williams","Williams"
"windows","Windows"
"wisky","whisky"
"word","Word"
"xx","XX"
"xxx","XXX"
"yaga","llaga"
"yagas","llagas"
"yankee","yanqui"
"yankees","yanquis"
"yanki","yanqui"
"yankie","yanqui"
"yankies","yanquis"
"yankis","yanquis"
"yogur","yogurt"
"youtube","Youtube"
"zafari","safari"
"zapateria","zapatería"
"zeppelin","Zeppelin"
"zeus","Zeus"
"zodiaco","zodíaco"
"zoodiaco","zodíaco"
"zoologico","zoológico"
"contento / a","contento"
