wordA	wordB	rating
astillero	aduana	2.07
cuna	taburete	2.1
laurel	mostaza	2.11
saltamontes	bogavante	2.24
tarro	bolsa	2.27
rastrillo	navaja	2.28
muleta	caña	2.36
jaula	tumba	2.4
muela	cuerno	2.4
farol	fuego	2.41
gasolina	agua	2.47
cencerro	silbato	2.5
carpintero	profesor	2.53
caldo	mayonesa	2.55
yeso	carbón	2.57
alambre	caucho	2.6
corteza	forro	2.6
frambuesa	aceituna	2.63
roscón	sorbete	2.68
manguera	acueducto	2.69
avena	nabo	2.77
hombro	útero	2.77
hueso	estómago	2.77
apeadero	aeropuerto	2.79
hacha	destornillador	2.79
orilla	esquina	2.79
rama	tubérculo	2.79
amapola	seta	2.8
arena	mármol	2.83
concha	escamas	2.83
panal	gallinero	2.83
ternera	tigre	2.83
hinojo	almendro	2.86
colmena	acuario	2.87
lata	bandeja	2.87
habas	cacahuetes	2.9
campesino	vendedor	2.93
pimiento	níspero	2.93
relámpago	volcán	2.93
sacacorchos	exprimidor	2.93
hoja	pradera	2.97
mejilla	ingle	2.97
chica	viuda	3
hoz	puñal	3
albornoz	mantilla	3.03
alpargata	bolso	3.03
golosina	pan	3.03
muslo	riñón	3.07
servilleta	manta	3.13
ventanal	baranda	3.14
techo	pasillo	3.17
vecino	arrendatario	3.2
chichón	joroba	3.23
perejil	vainilla	3.23
peatón	vagabundo	3.27
alfarero	ingeniero	3.3
lavavajillas	televisión	3.31
dueño	cliente	3.33
palomitas	pasas	3.33
pelo	cuello	3.33
azafata	peluquera	3.34
ladrillo	granito	3.37
buhardilla	terraza	3.41
médico	abogado	3.43
merluza	sapo	3.43
comadrona	maestra	3.46
tienda	feria	3.47
flequillo	vello	3.48
fresa	nuez	3.5
mariposa	pavo	3.5
sujetador	chándal	3.5
nutria	antílope	3.52
tarta	tostada	3.52
nido	cueva	3.53
charco	océano	3.6
niño	viejo	3.6
camiseta	delantal	3.63
jilguero	cisne	3.63
cárcel	asilo	3.67
hucha	baúl	3.67
muñeca	puzzle	3.67
ombligo	axila	3.67
albóndiga	tortilla	3.7
codorniz	liebre	3.7
comedor	despacho	3.7
jarrón	bidón	3.7
jazmín	helecho	3.7
manzana	coliflor	3.77
uña	diente	3.77
rebaño	gentío	3.79
vendaje	faja	3.79
vertedero	descampado	3.79
bocadillo	canelones	3.8
panadería	papelería	3.8
pecho	nalgas	3.8
sobrina	padre	3.8
murciélago	erizo	3.83
nariz	pulmón	3.83
cuchara	cacerola	3.86
abuela	suegro	3.87
cangrejo	salmón	3.89
eco	susurro	3.89
huésped	amigo	3.89
atún	foca	3.9
bebé	joven	3.9
panadero	zapatero	3.9
rodilla	ojo	3.9
jamón	tortilla	3.93
paloma	delfín	3.93
pendiente	reloj	3.93
rayo	ráfaga	3.93
toldo	telón	3.93
trigo	avellana	3.93
uva	remolacha	3.93
calle	túnel	3.97
leche	cerveza	3.97
pañuelo	guantes	3.97
sombrero	pantalón	3.97
cadera	vértebras	4
enchufe	bombilla	4
fregadero	bañera	4
yegua	elefante	4
zumo	aceite	4
lámpara	proyector	4.03
sábana	tapete	4.03
estiércol	vómito	4.04
alcantarilla	pozo	4.07
tobillo	costilla	4.07
colchón	cortinas	4.17
lagartija	ratón	4.17
madera	cemento	4.17
cepillo	pincel	4.2
veneno	fármaco	4.2
ajo	alcachofa	4.21
azulejo	zócalo	4.27
calabacín	limón	4.27
desayuno	banquete	4.27
gorrión	ardilla	4.27
queso	flan	4.27
tiburón	cangrejo	4.27
barro	césped	4.3
melocotón	nabo	4.3
zanahoria	albaricoque	4.31
algodón	terciopelo	4.33
cama	mesa	4.33
cuero	caucho	4.33
berberecho	rape	4.36
bellota	pistacho	4.38
encina	cerezo	4.4
lechuga	champiñón	4.4
alfombra	parqué	4.43
cristal	diamante	4.43
raíz	semilla	4.43
guisante	patata	4.47
parrilla	chimenea	4.47
piojo	oruga	4.47
aguacate	sandía	4.48
bodega	trastero	4.5
buitre	canario	4.5
calcetines	bañador	4.5
hilo	cadena	4.5
paño	papel	4.5
tormenta	terremoto	4.53
almacén	granero	4.57
hijo	yerno	4.63
tijeras	destornillador	4.63
botella	plato	4.67
burro	oso	4.7
garbanzos	fideos	4.72
arroyo	estanque	4.73
peca	grano	4.73
cordillera	valle	4.75
zorro	gallo	4.76
musgo	arbusto	4.77
rana	serpiente	4.77
naranjo	rosal	4.8
sobrino	cuñado	4.8
rebanada	galleta	4.82
hogar	guarida	4.83
lluvia	tornado	4.83
vivienda	campamento	4.86
cerilla	vela	4.87
valla	pared	4.9
chaleco	gabardina	4.96
cuchillo	pistola	4.97
jaula	caja	5
madera	corcho	5
mariposa	polilla	5
tobillo	pierna	5.03
hoja	pétalo	5.07
eco	ruido	5.13
albóndiga	buñuelo	5.14
hoz	martillo	5.14
vecino	residente	5.14
caldo	infusión	5.17
cepillo	escobilla	5.17
ladrillo	piedra	5.17
sujetador	falda	5.2
yeso	arcilla	5.24
raíz	tubérculo	5.25
hueso	médula	5.27
manguera	tubería	5.27
bodega	sótano	5.28
sobrino	primo	5.28
algodón	lino	5.3
astillero	puerto	5.3
corteza	envoltura	5.34
veneno	pócima	5.36
colchón	cojín	5.37
hacha	martillo	5.38
abuela	madre	5.4
azafata	camarera	5.4
niño	adolescente	5.4
apeadero	andén	5.43
cuchara	cazo	5.43
enchufe	cargador	5.43
hijo	nieto	5.43
hombro	antebrazo	5.43
cuna	litera	5.45
ajo	apio	5.47
arroyo	pantano	5.47
cárcel	reformatorio	5.47
melocotón	ciruela	5.47
concha	cáscara	5.48
farol	linterna	5.5
jazmín	lirio	5.52
almacén	depósito	5.53
carpintero	albañil	5.53
orilla	borde	5.53
pelo	pestaña	5.53
pimiento	berenjena	5.53
frambuesa	mora	5.55
murciélago	ratón	5.55
leche	horchata	5.57
palomitas	pistachos	5.57
sacacorchos	abrelatas	5.6
ternera	toro	5.6
golosina	chocolate	5.62
campesino	ganadero	5.63
cristal	lente	5.63
cuero	piel	5.66
piojo	pulga	5.67
panal	avispero	5.69
trigo	centeno	5.69
avena	mazorca	5.71
toldo	porche	5.71
rana	salamandra	5.73
relámpago	centelleo	5.73
tijeras	alicates	5.73
colmena	hormiguero	5.75
cangrejo	langostino	5.77
chaleco	cazadora	5.77
uva	pasas	5.77
alfarero	artesano	5.79
muleta	bastón	5.79
nariz	barbilla	5.79
pecho	corazón	5.79
zorro	lobo	5.8
alambre	filamento	5.83
charco	laguna	5.83
chichón	bulto	5.83
jarrón	cántaro	5.83
muslo	pantorrilla	5.83
bellota	castaña	5.87
yegua	mula	5.87
hinojo	tomillo	5.89
amapola	tulipán	5.9
jamón	salchichón	5.9
rodilla	codo	5.9
cadera	costilla	5.93
cencerro	campanilla	5.93
manzana	naranja	5.93
ombligo	pezón	5.93
sobrina	prima	5.93
flequillo	mechas	5.96
lata	bote	5.97
queso	cuajada	5.97
pendiente	anillo	6
roscón	bollo	6
zanahoria	rábano	6
hucha	monedero	6.03
paloma	gaviota	6.03
comedor	restaurante	6.07
rama	tronco	6.07
servilleta	mantel	6.07
buitre	cuervo	6.1
tormenta	huracán	6.1
pañuelo	bufanda	6.17
nutria	ardilla	6.2
perejil	tomillo	6.2
hilo	lana	6.23
muñeca	marioneta	6.23
nido	madriguera	6.23
tiburón	orca	6.23
naranjo	limonero	6.27
peca	verruga	6.3
rastrillo	escoba	6.3
zumo	batido	6.3
alpargata	chancleta	6.31
alcantarilla	desagüe	6.33
lavavajillas	secadora	6.36
jilguero	ruiseñor	6.37
cama	sofá	6.4
cerilla	mechero	6.4
codorniz	perdiz	6.4
cordillera	sierra	6.4
dueño	patrón	6.4
fresa	cereza	6.4
laurel	orégano	6.4
parrilla	plancha	6.4
musgo	moho	6.43
paño	bayeta	6.45
gorrión	golondrina	6.47
comadrona	ginecóloga	6.5
lluvia	nieve	6.5
calabacín	pepino	6.53
uña	zarpa	6.53
atún	lubina	6.55
desayuno	almuerzo	6.57
guisante	judía	6.57
huésped	inquilino	6.59
ventanal	balcón	6.61
tienda	supermercado	6.63
médico	enfermera	6.67
sábana	colcha	6.7
vertedero	contenedor	6.7
berberecho	almeja	6.73
gasolina	petróleo	6.73
muela	colmillo	6.73
vendaje	tirita	6.75
azulejo	mosaico	6.77
botella	jarra	6.77
cuchillo	espada	6.77
bocadillo	sándwich	6.8
tarta	bizcocho	6.8
buhardilla	ático	6.82
rebanada	rodaja	6.83
aguacate	papaya	6.87
burro	caballo	6.87
encina	roble	6.87
hogar	apartamento	6.87
rayo	descarga	6.87
saltamontes	grillo	6.87
albornoz	toalla	6.9
lámpara	candil	6.93
garbanzos	lentejas	6.97
calcetines	medias	7
panadero	pastelero	7
rebaño	ganado	7
techo	tejado	7
sombrero	gorra	7.03
bebé	infante	7.07
camiseta	blusa	7.07
lechuga	col	7.1
alfombra	esterilla	7.13
barro	tierra	7.13
merluza	lenguado	7.17
tarro	frasco	7.2
calle	camino	7.3
panadería	pastelería	7.3
habas	judías	7.43
vivienda	piso	7.53
estiércol	abono	7.54
chica	niña	7.57
fregadero	lavadero	7.6
peatón	caminante	7.75
mejilla	pómulo	7.8
valla	reja	7.83
arena	tierra	7.9
lagartija	lagarto	8.2